epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,current_lr,epoch_time
1,1.9814135289256463,0.730247641509434,1.8803695623397827,0.7687,0.009938441702975689,44.39389991760254
2,1.811972803503998,0.7773121630727763,1.9116574171066285,0.7711,0.009755282581475769,45.586742639541626
3,1.778524396554479,0.7897679413746631,1.9611628086090087,0.7664,0.00945503262094184,44.70853042602539
4,1.75244952340653,0.7976752021563343,1.9397904552459717,0.7662,0.009045084971874739,43.87822437286377
5,1.7216748918163165,0.8049296664420486,1.9504550212860108,0.7648,0.008535533905932738,42.559125661849976
6,1.691082399810421,0.8121420148247979,1.9315080307006836,0.766,0.007938926261462366,44.01771306991577
7,1.651505016573677,0.8212285208894878,1.898984178161621,0.7757,0.007269952498697735,44.22499918937683
8,1.6121862731532588,0.8281565869272237,1.8652883756637573,0.7807,0.006545084971874738,44.39026498794556
9,1.5753233715530355,0.8364113039083558,1.8271425388336182,0.7846,0.005782172325201155,45.19284677505493
10,1.5310625377691016,0.8453714622641509,1.7885226360321045,0.7853,0.005,42.55371427536011
11,1.4935980292986024,0.8543632075471698,1.7539858142852782,0.7898,0.004217827674798847,44.35524892807007
12,1.4546294061321454,0.8641340970350404,1.7356050582885743,0.789,0.0034549150281252636,44.669025897979736
13,1.4196727359391288,0.8744209063342318,1.6956213291168214,0.7979,0.0027300475013022664,45.88278555870056
14,1.3837220427803594,0.8848867082210242,1.6679736515045167,0.8005,0.0020610737385376348,43.54846000671387
15,1.3555588330220019,0.8928360849056604,1.6492745002746583,0.8058,0.0014644660940672626,43.63072729110718
16,1.3309401080936114,0.9023648079514824,1.632367946243286,0.8088,0.0009549150281252633,43.13490414619446
17,1.3137507872440102,0.9081030997304582,1.6215738697052002,0.8084,0.0005449673790581611,44.74692130088806
18,1.2954803477079078,0.9141151448787062,1.610839536857605,0.8101,0.00024471741852423234,42.7249231338501
19,1.2836482666252116,0.9185267857142857,1.6056597082138062,0.8098,6.15582970243117e-05,43.38065314292908
20,1.2787860805454923,0.9207694575471698,1.603451467514038,0.8114,0.0,44.31024765968323
