epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,current_lr,epoch_time
1,4.623746010813751,0.2878832547169811,3.4602583221435546,0.6253,0.009938441702975689,44.192914962768555
2,4.652998141522677,0.315837685309973,3.4260559219360354,0.6366,0.009755282581475769,45.58765935897827
3,4.6423935324676595,0.3187226246630728,3.491162789154053,0.6335,0.00945503262094184,45.240713119506836
4,4.577338403768617,0.32195502021563344,3.398481460571289,0.64,0.009045084971874739,45.21794056892395
5,4.508973376127588,0.32434509770889486,3.3712021495819093,0.6302,0.008535533905932738,45.132001638412476
6,4.4097291240794965,0.32729321091644203,3.272894229888916,0.636,0.007938926261462366,45.48633885383606
7,4.247485305421114,0.3344318564690027,3.1000874710083006,0.6478,0.007269952498697735,45.199594259262085
8,4.133215849611637,0.33909619272237196,3.0364950706481935,0.6535,0.006545084971874738,44.4493944644928
9,3.9889939229764706,0.351257159703504,2.915820383453369,0.6624,0.005782172325201155,45.50381851196289
10,3.8487115066970454,0.3588274932614555,2.8216896255493165,0.6633,0.005,44.93046808242798
11,3.706118821455141,0.37090422843665766,2.687966262817383,0.6752,0.004217827674798847,45.12478971481323
12,3.5900438043949094,0.380485596361186,2.599265116882324,0.677,0.0034549150281252636,45.556737184524536
13,3.471141100572447,0.39189900606469,2.492644319152832,0.6875,0.0027300475013022664,45.38782000541687
14,3.3650916278201617,0.40795569407008087,2.409178608703613,0.6967,0.0020610737385376348,45.28182625770569
15,3.27630307282399,0.4194954514824798,2.3314253036499024,0.7036,0.0014644660940672626,45.03852581977844
16,3.194634550665267,0.4359732985175202,2.277849181365967,0.714,0.0009549150281252633,45.04082489013672
17,3.1316145269697246,0.4462179919137466,2.2312599140167237,0.716,0.0005449673790581611,44.705363750457764
18,3.0864964341217616,0.4582947270889488,2.197133585357666,0.7234,0.00024471741852423234,45.2077476978302
19,3.0418290764173728,0.4689921664420485,2.17615241317749,0.7249,6.15582970243117e-05,46.10603713989258
20,3.024644094014746,0.4745304076819407,2.1691514316558838,0.7265,0.0,44.894956827163696
